Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,Cov Num,Date Added
Managing Urology Consultations during COVID-19 Pandemic: Application of a Structured Care Pathway,"Borchert, Alex; Baumgarten, Lee; Dalela, Deepansh; Jamil, Marcus; Budzyn, Jeffrey; Kovacevic, Natalija; Yaguchi, Grace; Palma-Zamora, Isaac; Perkins, Sara; Bazzi, Mahdi; Wong, Phil; Sood, Akshay; Peabody, James; Rogers, Craig G.; Dabaja, Ali; Atiemo, Humphrey","Objectives To describe and evaluate a risk-stratified triage pathway for inpatient urology consultations during the SARS-CoV-2 (COVID-19) pandemic. This pathway seeks to outline a urology patient care strategy that reduces the transmission risk to both healthcare providers and patients, reduces the healthcare burden, and maintains appropriate patient care. Methods Consultations to the urology service during a three-week period (March 16 to April 2, 2020) were triaged and managed via one of three pathways: Standard, Telemedicine, or High-Risk. Standard consults were in-person consults with non- COVID-19 patients, High-Risk consults were in-person consults with COVID-19 positive/suspected patients, and Telemedicine consults were telephonic consults for low-acuity urologic issues in either group of patients. Patient demographics, consultation parameters and consultation outcomes were compared to consultations from the month of March 2019. Categorical variables were compared using Chi-square test and continuous variables using Mann-Whitney U test. A p-value <0.05 was considered significant. Results Between March 16 and April 2, 2020, 53 inpatient consultations were performed. By following our triage pathway, a total of 19/53 consultations (35.8%) were performed via Telemedicine with no in-person exposure, 10/53 consultations (18.9%) were High-Risk, in which we strictly controlled the urology team member in-person contact, and the remainder, 24/53 consultations (45.2%), were performed as Standard in-person encounters. COVID-19 associated consultations represented 18/53 (34.0%) of all consultations during this period, and of these, 8/18 (44.4%) were managed successfully via Telemedicine alone. No team member developed COVID-19 infection. Conclusions During the COVID-19 pandemic, most urology consultations can be managed in a patient and physician safety-conscious manner, by implementing a novel triage pathway.",2020,,Urology,,,,,https://doi.org/10.1016/j.urology.2020.04.059,19261,#94836,Borchert 2020,,,94836,22-04-20
Sonographic signs and patterns of COVID-19 pneumonia,"Volpicelli, Giovanni; Gargani, Luna","The pandemic of COVID-19 is seriously challenging the medical organization in many parts of the world. This novel corona virus SARS-CoV-2 has a specific tropism for the low respiratory airways, but causes severe pneumonia in a low percentage of patients. However, the rapid spread of the infection during this pandemic is causing the need to hospitalize a high number of patients. Pneumonia in COVID-19 has peculiar features and can be studied by lung ultrasound in the early approach to suspected patients. The sonographic signs are non-specific when considered alone, but observation of some aspects of vertical artifacts can enhance the diagnostic power of the ultrasound examination. Also, the combination of sonographic signs in patterns and their correlation with blood exams in different phenotypes of the disease may allow for a reliable characterization and be of help in triaging and admitting patients.",2020,,The Ultrasound Journal,12,1,22-22,,10.1186/s13089-020-00171-w,19497,#94853,Volpicelli 2020,,,94853,22-04-20
Global threat of COVID 19 and evacuation of the citizens of different countries,"Sencan, Irfan; Kuzi, Semanur","Beginning from China on December 2019, COVID-19 epidemic has spreaded all over the world in a short period of time and has been a pandemic. In challenge with this pandemic quarantine technique has been used widely after tens of years. In the course of the pandemic, many countries evacuated their citizens from affected regions and combined the evacuation with quarantine process. Some examples of these countries who evacuated their citizens are Germany, Italy, Spain, and USA. In further times, during the course of pandemic, according to spread, other countries evacuated their citizens from these countries too. Despite being the origin of the pandemic, in later times Wuhan was also a place where people were evacuated to. Evacuation and quarantine have caused social and psychological impacts on people and some of them took place in mainstream media. In this review article, evacuation and quarantine processes as well as the society's reactions to these, have been compiled.",2020,,Turk J Med Sci,,,,32283903,10.3906/sag-2004-21,21848,#94864,Sencan 2020,,,94864,22-04-20
Zoonotic origins of human coronavirus 2019 (HCoV-19): why is this work important?,"Wong, Gary; Bi, Yu-Hai; Wang, Qi-Hui; Chen, Xin-Wen; Zhang, Zhi-Gang; Yao, Yong-Gang","The ongoing pandemic of coronavirus disease 2019 (COVID-19), caused by infection with human coronavirus 2019 (HCoV-19/SARS-CoV-2/2019-nCoV), is a global threat to the human population. Here, we briefly summarize the available data for the zoonotic origins of HCoV-19, with reference to the other two epidemics of highly virulent coronaviruses, SARS-CoV and MERS-CoV, which cause severe pneumonia in humans. We propose to intensify future efforts for tracing the origins of HCoV-19, which is a very important scientific question for the control and prevention of the pandemic.",2020,,Zoological research,,,01-Jul,,10.24272/j.issn.2095-8137.2020.031,19350,#94877,Wong 2020,,,94877,22-04-20
"COVID-19 outbreak control, example of ministry of health of Turkey","Demirbilek, Yasemin; Pehlivanturk, Gulen; Ozguler, Zeynep Ozge; Alp Mese, Emine","Our first COVID-19 case in Turkey was a 44-year-old male who referred to the hospital on March 9, 2020. The first related death occurred on March 17, 2020. Preparedness for the pandemic has been ongoing before the first case was detected. The National Pandemic Plan was published in 2006. The Pandemic Influenza National Preparedness Plan was available after being updated in light of experiences gained during the 2009 Influenza A pandemic. Accordingly, Pandemic Coordination Boards and Operation Centers have been established on the national and provincial levels. This was an adaptable plan to the Novel Coronavirus Disease (COVID-19). We formed teams to work on a 24/7 basis and established a Scientific Committee at the Public Health Emergency Operation Center within the General Directorate of Public Health. ""COVID-19 Risk Assessment"", ""COVID-19 Guideline"" and ""Case Report Form"", regulations of personal protective equipment along with need-based guidelines, treatment algorithms, brochures and related documents have been released. For the case-based follow-up, Public Health Management System (HSYS) is being used. PCR and rapid diagnostic kits are being used to analyze the samples at the central Microbiology Reference Laboratory and the authorized laboratories in several provinces. Various preventive measures were implemented including flight restrictions to certain countries, gradually expanded to suspending all flights and prohibiting the entry of foreign nationals, 14-day isolation and symptom monitoring for those that came from countries under risk. Persons with chronic diseases have been granted an administrative leave, on campus education at schools and activities of public rest and entertainment areas were temporarily suspended. The measures have been implemented for penitentiary institutions, dormitories, nursing homes, public transport and intercity buses, and also weekend curfews are implemented. In accordance with the pandemic plan, actions have been carried out with a multi-sectoral approach, and preventive measures have been implemented to cover the society as a whole.",2020,,Turk J Med Sci,,,,32304192,10.3906/sag-2004-187,20673,#94887,Demirbilek 2020,,,94887,22-04-20
New clinical experiences and evaluation of clinical and paraclinical features of deceased patients with COVID-19 infection referred to Shahid Mostafa Khomeini Hospital of Ilam,"Ghaysouri, Abas; Sadeghifard, Nourkhoda; Nazari, Ali; Kalvandi, Gholamreza; Feizi, Jalil; Qasemi, Esmail; Kaffashian, Mohammad Reza; Borji, Milad; Kokhazadeh, Taleb; Tavan, Hamed",,2020,,Travel Med Infect Dis,,,,32272197,10.1016/j.tmaid.2020.101657,22483,#94915,Ghaysouri 2020,,,94915,22-04-20
Family Member Visits to Critically Ill Patients During COVID-19: A New Pathway (Telemed J E Health 2020. [Epub ahead of print]; DOI: 10.1089/tmj.2020.29040.rb),"Zhang, Jun; Wang, Haili; Dong, Lun",,2020,,Telemedicine and e-Health,,,tmj.2020.0097-tmj.2020.0097,,10.1089/tmj.2020.0097,19365,#94934,Zhang 2020,,,94934,22-04-20
Response to COVID-19 by the surgical community,"Elster, Eric; Potter, Benjamin K.; Chung, Kevin",,2020,,Surgery,,,,32307095,10.1016/j.surg.2020.03.011,20446,#94974,Elster 2020,,,94974,22-04-20
Ophthalmic Manifestations Of Coronavirus (COVID-19),"Hu, Katherine; Patel, Jay; Patel, Bhupendra C.","Since December 2019, coronavirus disease 2019 (COVID-19) has become a global pandemic caused by the highly transmissible severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2).[1] There have been several reports of eye redness and irritation in COVID-19 patients, both anecdotal and published, suggesting that conjunctivitis may be an ocular manifestation of SARS-CoV-2 infection. A study conducted during the 2003 Severe Acute Respiratory Syndrome (SARS) outbreak detected SARS-CoV in tear samples in SARS patients in Singapore.[2] Lack of eye protection was a primary risk factor of SARS-CoV transmission from SARS patients to healthcare workers in Toronto, prompting a concern that respiratory illness could be transmitted through ocular secretions.[3][[4] Similar concerns have been raised with SARS-CoV-2, especially among eye care providers and those on the front lines triaging what could be initial symptoms of COVID-19. As conjunctivitis is a common eye condition, ophthalmologists may be the first medical professionals to evaluate a patient with COVID-19. Indeed, one of the first providers to voice concerns regarding the spread of Coronavirus in Chinese patients was Li Wenliang, MD, an ophthalmologist. He later died from COVID-19 and was believed to have contracted the virus from an asymptomatic glaucoma patient in his clinic. The authors of this article have attempted to collect the most up-to-date information on ophthalmic manifestations of COVID-19 as a resource for identifying symptoms, providing diagnostic pearls, and mitigating transmission.",2020,,StatPearls,,,,32310553,,20340,#94987,Hu 2020,,,94987,22-04-20
Cardiac Manifestations Of Coronavirus (COVID-19),"Basu-Ray, Indranill; Soos, Michael P.","Coronaviruses are a large family of single positive-stranded, enveloped RNA viruses that can infect many animal species and humans. Human coronaviruses can be divided based on their pathogenicity. The types with high pathogenicity including SARS-CoV, MERS-CoV, and current novel SARS-CoV2.[1] Cross-species transmission is the most likely model of the initial transmission from bat to human. The initial transfer believed to have happened in Wuhan, China.[2][3]",2020,,StatPearls,,,,32310612,,20339,#94989,Basu-Ray 2020,,,94989,22-04-20
SARS-Cov-2 outbreak-imposed medical isolation increased sleep problems,"Xue, Zhenpeng; Lin, Ling; Zhang, Simei; Gong, Jingbo; Liu, Jianbo; Lu, Jianping",,2020,,Sleep Medicine,,,,,https://doi.org/10.1016/j.sleep.2020.04.014,19360,#95001,Xue 2020,,,95001,22-04-20
An elderly couple with COVID-19 pneumonia treated in Singapore: contrasting clinical course and management,"Wong, Sin Yew; Leong, Keng Hong; Ng, Kheng Siang; Tan, Seng Hoe; Lo, Pau Lin Constance; Chan, Kenneth",,2020,,Singapore medical journal,,,,,10.11622/smedj.2020064,19364,#95002,Wong 2020,,,95002,22-04-20
Trauma and orthopaedics in the COVID-19 pandemic: breaking every wave,"Tay, Keng Jin Darren; Lee, Yee Han Dave",,2020,,Singapore medical journal,,,,,10.11622/smedj.2020063,19314,#95003,Tay 2020,,,95003,22-04-20
Variable computed tomography appearances of COVID-19,"Lim, Zhan Ye; Khoo, Hau Wei; Hui, Terrence Chi Hong; Kok, Shawn Shi Xian; Kwan, Kenneth Eng Ling; Young, Barnaby Edward; Tan, Cher Heng; Kaw, Gregory Jon Leng","The coronavirus disease 2019 (COVID-19) is typically diagnosed by specific assays that detect viral nucleic acid from the upper respiratory tract; however, this may miss infections involving only the lower airways. Computed tomography (CT) has been described as a diagnostic modality in the COVID-19 diagnosis and treatment plan. We present a case series with virologically confirmed COVID-19 pneumonia. Variable CT features were observed: consolidation with ground-glass opacities, ground-glass opacities with subpleural reticular bands, and an anterior-posterior gradient of lung abnormalities resembling that of acute respiratory distress syndrome. In one patient, we noted evolution of CT findings, where there was interval resolution of bilateral lung consolidation with development of bronchiolectasis and subpleural fibrotic bands. While sensitive for detecting lung parenchymal abnormalities in COVID-19 pneumonia, CT for initial diagnosis is discouraged and should be reserved for specific clinical indications. Interpretation of chest CT findings should be correlated with duration of symptoms to better determine the disease stage and aid in patient management.",2020,,Singapore medical journal,,,,,10.11622/smedj.2020066,19323,#95004,Lim 2020,,,95004,22-04-20
Rapid detection of anti-H5 avian influenza virus antibody by fluorescence polarization immunoassay using a portable fluorescence polarization analyzer,"Nishiyama, Keine; Takeda, Yohei; Maeki, Masatoshi; Ishida, Akihiko; Tani, Hirofumi; Shigemura, Koji; Hibara, Akihide; Yonezawa, Yutaka; Imai, Kunitoshi; Ogawa, Haruko; Tokeshi, Manabu","A rapid, facile and selective detection of anti-H5 subtype avian influenza virus (AIV) antibody in serum by fluorescence polarization immunoassay (FPIA) was achieved. A fragment of recombinant H5 subtype AIVhemagglutinin was produced and labeled with fluorescein to use it as a labeled antigen in FPIA. This labeled antigen was mixed with anti-AIV sera (H1–H16 subtypes) and FP of the mixture was measured using a portable FP analyzer on a microdevice. It was found that FP increased in proportion to the concentration of anti-H5 AIV antibody (serum) and was significantly higher than FP obtained with the other sera. The selective detection of anti-H5 subtype AIV antibody was confirmed. The required volume of original sample was 2 μL and analysis time was within 20 min. This detection system realizes an efficient on-site diagnosis and surveillance of AIV.",2020,,Sensors and Actuators B: Chemical,,,128160-128160,,https://doi.org/10.1016/j.snb.2020.128160,19355,#95022,Nishiyama 2020,,,95022,22-04-20
Focal status epilepticus as unique clinical feature of COVID-19: a case report,"Vollono, Catello; Rollo, Eleonora; Romozzi, Marina; Frisullo, Giovanni; Servidei, Serenella; Borghetti, Alberto; Calabresi, Paolo","SARS-CoV-2, a novel zoonotic coronavirus, is currently spreading all over the world, causing a pandemic disease defined coronavirus disease 2019 (COVID-19). The spectrum of COVID-19 ranges from asymptomatic or mild infection to rapidly progressive, acute respiratory distress syndrome and death1.To the best of our knowledge, status epilepticus has never been described as initial presentation of COVID-19. We report a patient affected by COVID-19 whose primary presentation was a focal status epilepticus.",2020,,Seizure,,,,,https://doi.org/10.1016/j.seizure.2020.04.009,19527,#95026,Vollono 2020,,,95026,22-04-20
Antibody surveys suggesting vast undercount of coronavirus infections may be unreliable,"Vogel, Gretchen","Surveying large swaths of the public for antibodies to the new coronavirus promises to show how widespread undiagnosed infections are, how deadly the virus really is, and whether enough of the population has become immune for social distancing measures to be eased. But the first batch of results has generated more controversy than clarity. The survey results, from Germany, the Netherlands, and several locations in the United States, find that anywhere from 2% to 30% of certain populations have already been infected with the virus. The numbers imply that confirmed COVID-19 cases are an even smaller fraction of the true number of people infected than many had estimated and that the vast majority of infections are mild. But many scientists question the accuracy of the antibody tests and complain that several of the research groups announced their findings in the press rather than in preprints or published papers, where their data could be scrutinized. Critics are also wary because some of the researchers are on record advocating for an early end to lockdowns and other control measures, and claim the new prevalence figures support that call.",2020,,Science,,,,,10.1126/science.abc3831,19671,#95034,Vogel 2020,,,95034,22-04-20
Antimalarials widely used against COVID-19 heighten risk of cardiac arrest. How can doctors minimize the danger?,"Servick, Kelly","On 19 March, as much of the United States shut down to contain the new coronavirus, genetic cardiologist Michael Ackerman and his wife drove 7.5 hours to retrieve their son from college. On the radio, they heard medical experts discussing chloroquine and hydroxychloroquine, two antimalarial drugs that President Donald Trump had just touted at a press briefing, despite no conclusive evidence that they can treat COVID-19. A doctor on the show asserted that the drugs have proved to be completely safe because they’ve been used against malaria for decades and are also used to tame overactive immune cells in lupus and rheumatoid arthritis.",2020,,Science,,,,,10.1126/science.abc3816,19672,#95038,Servick 2020,,,95038,22-04-20
‘Closing borders is ridiculous’: the epidemiologist behind Sweden’s controversial coronavirus strategy,"Paterlini, Marta","Anders Tegnell talks to Nature about the nation’s ‘trust-based’ approach to tackling the pandemic. As much of Europe imposed severe restrictions on public life last month to stem the spread of the coronavirus, one country stood out. Sweden didn’t go into lockdown or impose strict social-distancing policies. Instead, it rolled out voluntary, ‘trust-based’ measures: it advised older people to avoid social contact and recommended that people work from home, wash their hands regularly and avoid non-essential travel. But borders and schools for under-16s remain open — as do many businesses, including restaurants and bars.",2020,,Science,,,,,10.1038/d41586-020-01098-x,19676,#95043,Paterlini 2020,,,95043,22-04-20
Coronavirus found in Paris sewage points to early warning system,"Lesté-Lasserre, Christa","By sampling sewage across greater Paris for more than 1 month, researchers have detected a rise and fall in novel coronavirus concentrations that correspond to the shape of the COVID-19 outbreak in the region, where a lockdown is now suppressing spread of the disease. Although several research groups have reported detecting coronavirus in wastewater, the researchers say the new study is the first to show that the technique can pick up a sharp rise in viral concentrations in sewage before cases explode in the clinic. That points to its potential as a cheap, noninvasive tool to warn against outbreaks, they say.",2020,,Science,,,,,10.1126/science.abc3799,19673,#95049,Lesté-Lasserre 2020,,,95049,22-04-20
"United States should allow volunteers to be infected with coronavirus to test vaccines, lawmakers argue","Cohen, Jon","Political support is building for regulators in the United States to embrace the controversial strategy of intentionally infecting volunteers with the virus that causes COVID-19 in order to test experimental vaccines. Such human challenge trials could greatly accelerate the development of an effective vaccine, 35 members of the House of Representatives argue in a letter sent yesterday to the heads of the U.S. Food and Drug Administration (FDA) and its parent agency, the Department of Health and Human Services (HHS).",2020,,Science,,,,,,19674,#95067,Cohen 2020,,,95067,22-04-20
COVID-19 needs a big science approach,"Berkley, Seth",,2020,,Science,,,,32213646,10.1126/science.abb8654,24371,#95070,Berkley 2020,,,95070,22-04-20
[Prevention and control strategies and methods of novel coronavirus epidemic infection in department of otolaryngology head and neck surgery in hospital],"Yang, X. L.; Ren, J.; Xu, Z.; Lei, W. W.; Yang, K.; Kong, Y. G.; Qu, J. N.; Liao, H.; He, Y.; Chen, H. D.; Zeng, F.; Wang, Y.; Hua, Q. Q.",,2020,,Zhonghua Er Bi Yan Hou Tou Jing Wai Ke Za Zhi,,,,32306626,10.3760/cma.j.cn115330-20200205-00237,20470,#95095,Yang 2020,,,95095,22-04-20
[Suggestions for prevention of 2019 novel coronavirus infection in medical staff of otolaryngology head and neck surgery],"Xu, K.; Lai, X. Q.; Liu, Z.",,2020,,Zhonghua Er Bi Yan Hou Tou Jing Wai Ke Za Zhi,,,,32306625,10.3760/cma.j.cn115330-20200201-00240,20471,#95099,Xu 2020,,,95099,22-04-20
[Suggestions for emergency operation of otorhinolaryngology head and neck during the period of prevention and control of 2019 novel coronavirus],"Sun, Y.; Hu, Y. J.; Xiao, H. J.",,2020,,Zhonghua Er Bi Yan Hou Tou Jing Wai Ke Za Zhi,,,,32306627,10.3760/cma.j.cn115330-20200204-00238,20469,#95100,Sun 2020,,,95100,22-04-20
Across sectional study on patients with inflammatory rheumatic diseases in terms of their compliance to their immunsuppressive medication during COVID-19 pandemic TT - Einstellung von Patienten mit entzundlich-rheumatischen Erkrankungen zur immunsuppress,"Schmeiser, T.; Broll, M.; Dormann, A.; Frabel, C.; Hermann, W.; Hudowenz, O.; Keil, F.; Muller-Ladner, U.; Ozden, F.; Pfeiffer, U.; Saech, J.; Schwarting, A.; Stapfer, G.; Steinchen, N.; Storck-Muller, K.; Strunk, J.; Thiele, A.; Triantafyllias, K.; Wassenberg, S.; Wilden, E.; Hasseli, R.","The current COVID-19 pandemic inherits an unprecedented challenge for the treating rheumatologists. On the one hand, antirheumatic drugs can increase the risk of infection and potentially deteriorate the course of an infection. On the other hand, an active inflammatory rheumatic disease can also increase the risk for an infection. In the recommendations of the German Society for Rheumatology (www.dgrh.de), it is recommended that our patients continue the antirheumatic therapy to maintain remission or low state of activity despite the pandemic. In this study, patients with inflammatory rheumatic disease were asked in the first weeks of the pandemic on their opinion of their immunomodulating therapy. The result shows that over 90% of the patients followed the recommendation of the rheumatologist to continue the antirheumatic therapy, and only asmall percentage of the patients terminated the therapy on their own. This result was independent of the individual anti-rheumatic therapy. Taken together, the results of this study illustrate not only the trustful patient-physician partnership in athreatening situation but also the high impact of state-of-the art recommendations by the respective scientific society.",2020,,Zeitschrift fur Rheumatologie,,,,,10.1007/s00393-020-00800-8,19440,#95158,Schmeiser 2020,,,95158,22-04-20
